intent_id,intent_name,kategori,contoh_utterance_1,contoh_utterance_2,contoh_utterance_3,contoh_utterance_4,contoh_utterance_5,node_target,respon_template
I016,navigasi_kaprodi_fisika,navigasi,Di mana ruang kaprodi fisika?,Ketua jurusan fisika ada di mana?,Ruang P1G di mana?,Di mana prodi fisika?,Ruang kaprodi fisika di mana?,P1G,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri jalan 45 meter. Ruang Kaprodi Fisika ada di sebelah kanan. Bersebelahan dengan Ruang Kaprodi Matematika.
I017,navigasi_seminar_kimia_biologi,navigasi,Di mana ruang seminar kimia?,Ruang seminar biologi ada di mana?,Ruang S1A di mana?,Di mana ruang sidang kimia?,Ruang presentasi kimia biologi di mana?,S1A,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 30 meter. Belok kanan jalan 5 meter. Ruang Seminar Kimia-Biologi ada di sebelah kanan. Ada mading di sebelahnya.
I018,navigasi_seminar_matfis,navigasi,Di mana ruang seminar matematika?,Ruang seminar fisika ada di mana?,Ruang S1B di mana?,Di mana ruang sidang matematika?,Ruang presentasi matematika fisika di mana?,S1B,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 30 meter. Belok kanan jalan 5 meter. Ruang Seminar Matematika-Fisika ada di sebelah kiri. Berhadapan dengan Ruang Seminar Kimia-Biologi.
I019,navigasi_lab_genetika,navigasi,Di mana lab genetika?,Lab gen ada di mana?,Ruang L2K di mana?,Di mana praktikum genetika?,Lab genetika lantai berapa?,L2K,Dari lobby belok kiri ke koridor utama. Jalan 20 meter sampai pertigaan. Belok kanan naik tangga ke lantai 2. Belok kiri jalan 15 meter. Lab Genetika ada di sebelah kiri pintu kedua.
I020,navigasi_lab_zoologi,navigasi,Di mana lab zoologi?,Lab hewan ada di mana?,Ruang L2I di mana?,Di mana praktikum zoologi?,Lab zoologi lantai berapa?,L2I,Dari lobby belok kiri ke koridor utama. Jalan 20 meter sampai pertigaan. Belok kanan naik tangga ke lantai 2. Belok kiri jalan 30 meter. Lab Zoologi ada di sebelah kiri pintu keempat. Di sebelahnya ada tabung Hydrat.
I021,navigasi_perpustakaan,navigasi,Di mana perpustakaan?,Perpus ada di mana?,Library di mana?,Di mana bisa pinjam buku?,Ruang baca di mana?,L2M,Dari lobby belok kiri ke koridor utama. Jalan 20 meter belok kanan naik tangga lantai 2. Belok kiri jalan 40 meter. Di persimpangan koridor belok kanan jalan 20 meter. Perpustakaan ada di sebelah kiri.
I022,navigasi_dekan,navigasi,Di mana ruang dekan?,Kantor dekan FMIPA di mana?,Ruang dekan UHO di mana?,Di mana pimpinan FMIPA?,Mau ketemu dekan di mana?,DEKAN,Dari lobby belok kiri naik tangga yang ada di depan lobby. Naik ke lantai 2. Belok kiri sekitar 2 meter. Ruang Dekan FMIPA UHO ada di sebelah kanan. Di depannya ada pot bunga.
I023,navigasi_lab_basis_data,navigasi,Di mana lab basis data?,Lab database di mana?,Lab BD ada di mana?,Ruang L3A di mana?,Di mana praktikum basis data?,L3A,Dari lobby belok kiri ke koridor utama. Jalan 20 meter belok kanan naik tangga lantai 2. Lanjut naik ke lantai 3. Belok kanan 3 meter lurus 7 meter. Lab Basis Data ada di sebelah kanan pintu pertama.
I024,navigasi_lab_math,navigasi,Di mana lab matematika?,Lab math ada di mana?,Ruang L3B di mana?,Di mana lab komputasi matematika?,Lab math lantai berapa?,L3B,Dari lobby belok kiri ke koridor utama. Jalan 20 meter belok kanan naik tangga lantai 2. Lanjut naik ke lantai 3. Belok kanan 3 meter lurus 9 meter. Lab Math ada di sebelah kanan pintu kedua.
I025,navigasi_ruang_rapat,navigasi,Di mana ruang rapat senat?,Ruang rapat di mana?,Ruang R3A ada di mana?,Di mana ruang meeting senat?,Ruang rapat fakultas di mana?,R3A,Dari lobby belok kiri ke koridor utama. Jalan 20 meter belok kanan naik tangga lantai 2. Lanjut naik ke lantai 3. Belok kanan 3 meter lurus 15 meter. Ruang Rapat Senat ada di sebelah kanan. Letaknya sesudah pintu di dekat Lab Math.
I026,navigasi_aula,navigasi,Di mana aula?,Ruang serbaguna di mana?,Aula gedung A di mana?,Di mana ruang untuk acara besar?,Ruang R3B ada di mana?,R3B,Dari lobby belok kiri ke koridor utama. Jalan 20 meter belok kanan naik tangga lantai 2. Lanjut naik ke lantai 3. Di lantai 3 belok kiri jalan 40 meter. Di persimpangan koridor belok kanan jalan 15 meter. Ruang Aula ada di sebelah kiri dengan pintu berwarna putih di bagian tengah.
I027,info_gedung,informasi,Gedung A itu gedung apa?,Informasi gedung A?,Apa fungsi gedung A?,Gedung A milik fakultas apa?,Gedung A dipakai untuk apa?,LOBBY,Gedung A adalah gedung perkuliahan FMIPA UHO yang terdiri dari 3 lantai. Titik masuk utama adalah Lobby Utama Gedung A. Gedung B berada di sebelah kanan berjarak sekitar 20 meter.
I028,info_lantai,informasi,Ada ruangan apa saja di lantai 1?,Lantai 1 ada apa saja?,Apa saja ruangan di lantai 2?,Lantai 3 berisi apa?,Ruangan apa yang ada di lantai 3?,LOBBY,Lantai 1: Lab (UTI/Kimia/Biologi), Ruang Kaprodi, Ruang Seminar, TU, Toilet. Lantai 2: Lab Genetika/Zoologi/Perpustakaan/Ruang Dekan. Lantai 3: Lab Basis Data/Math/Ruang Rapat Senat/Aula.
I029,info_lab_tersedia,informasi,Ada lab apa saja di gedung A?,Laboratorium apa yang tersedia?,Lab apa saja yang ada?,Praktikum apa yang bisa dilakukan di gedung A?,Fasilitas lab apa yang ada?,LOBBY,"Gedung A memiliki lab: Kimia Organik, Kimia Anorganik, Kimia-Fisika, Biokimia & Bioteknologi, UTI, Genetika, Zoologi, Basis Data, dan Lab Math."
I030,salam,greeting,Halo,Hai,Selamat pagi,Assalamualaikum,Permisi,LOBBY,Halo! Selamat datang di CampusSeek. Saya siap membantu Anda menemukan ruangan di Gedung A. Silakan tanyakan ruangan yang Anda cari!
