route_id,dari_node,tujuan_node,nama_tujuan,lantai_tujuan,langkah_navigasi,catatan_tambahan,total_jarak_estimasi
R012,LOBBY,P1D,Ruang Ketua Jurusan Biologi,1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 30 meter|Belok kanan jalan sekitar 10 meter|Ruang Kaprodi Biologi ada di sebelah kanan,Ruang Kaprodi Biologi bersebelahan dengan Ruang Seminar,110
R013,LOBBY,P1E,Ruang Ketua Jurusan Bioteknologi,1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 30 meter|Belok kanan jalan sekitar 10 meter|Ruang Kaprodi Bioteknologi ada di sebelah kiri,Ruang Kaprodi Bioteknologi bersebelahan dengan Ruang Seminar,110
R014,LOBBY,P1F,Ruang Ketua Jurusan Matematika,1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri jalan sekitar 40 meter|Ruang Kaprodi Matematika ada di sebelah kanan,Di sebelah ruang ini ada mading Matematika,110
R015,LOBBY,P1G,Ruang Ketua Jurusan Fisika,1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri jalan sekitar 45 meter|Ruang Kaprodi Fisika ada di sebelah kanan,Ruang Kaprodi Fisika bersebelahan dengan Ruang Kaprodi Matematika,115
R016,LOBBY,S1A,Ruang Seminar Jurusan (Kimia-Biologi),1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 30 meter|Belok kanan jalan sekitar 5 meter|Ruang Seminar Kimia-Biologi ada di sebelah kanan,Di sebelah ruang seminar ini ada mading,105
R017,LOBBY,S1B,Ruang Seminar Jurusan (Matematika-Fisika),1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 30 meter|Belok kanan jalan sekitar 5 meter|Ruang Seminar Matematika-Fisika ada di sebelah kiri,Berhadapan dengan Ruang Seminar Kimia-Biologi,105
R018,LOBBY,L2K,Ruang Laboratorium Genetika,2,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan|Naik tangga ke lantai 2|Belok kiri jalan sekitar 15 meter|Lab Genetika ada di sebelah kiri pintu kedua,,37
R019,LOBBY,L2I,Ruang Laboratorium Zoologi,2,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan|Naik tangga ke lantai 2|Belok kiri jalan sekitar 30 meter|Lab Zoologi ada di sebelah kiri pintu keempat,Di sebelah Lab Zoologi ada tabung Hydrat,52
R020,LOBBY,L2M,Perpustakaan,2,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan|Naik tangga ke lantai 2|Belok kiri jalan sekitar 40 meter|Di persimpangan koridor belok kanan|Jalan sejauh 20 meter|Perpustakaan ada di sebelah kiri,,82
R021,LOBBY,DEKAN,Ruang Dekan FMIPA UHO,2,Dari lobby belok kiri naik tangga yang ada di depan lobby|Naik tangga ke lantai 2|Belok kiri sekitar 2 meter|Ruang Dekan FMIPA UHO ada di sebelah kanan,Di depan Ruang Dekan ada pot bunga,7
R022,LOBBY,L3A,Ruang Laboratorium Basis Data,3,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan naik tangga ke lantai 2|Lanjut naik tangga ke lantai 3|Belok kanan 3 meter lurus sekitar 7 meter|Lab Basis Data ada di sebelah kanan pintu pertama,,30
R023,LOBBY,L3B,Ruang Laboratorium Math,3,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan naik tangga ke lantai 2|Lanjut naik tangga ke lantai 3|Belok kanan 3 meter lurus sekitar 9 meter|Lab Math ada di sebelah kanan pintu kedua,Di sebelah Lab Math ada pintu,32
R024,LOBBY,R3A,Ruang Rapat Senat,3,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan naik tangga ke lantai 2|Lanjut naik tangga ke lantai 3|Belok kanan 3 meter lurus sekitar 15 meter|Ruang Rapat Senat ada di sebelah kanan,Ruang Rapat Senat sesudah pintu di dekat Lab Math,38
R025,LOBBY,R3B,Ruang Aula,3,Dari lobby belok kiri menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kanan naik tangga ke lantai 2|Lanjut naik tangga ke lantai 3|Di lantai 3 belok kiri jalan sejauh 40 meter|Di persimpangan koridor belok kanan|Jalan sekitar 15 meter|Ruang Aula berada di sebelah kiri,Terdapat warna putih pada bagian tengah pintu Ruang Aula,78
